request,account,dvr,start_time,end_time,source,received,uploaded,timestamp,is_retry,videos_details
001000007462318303020240923191250000,3-309,0000074623183030,"2024-09-23 18:54","2024-09-23 18:54",Vehicle,25,24,"2024-09-23 19:20:18",0,25
002000007462213415920240923191812170,3-170,0000074622134159,"2024-09-22 10:10","2024-09-22 10:20",API,10,8,"2024-09-23 19:18:28",0,10
001000007462318303020240923182501000,3-309,0000074623183030,"2024-09-23 18:00","2024-09-23 18:00",Vehicle,27,27,"2024-09-23 18:38:41",0,27
002000007462323203120240923173423413,3-170,0000074623232031,"2024-09-23 17:33","2024-09-23 17:34",API,1,1,"2024-09-23 17:34:31",0,1
001000007462312205920240923171338000,3-170,0000074623122059,"2024-09-23 17:11","2024-09-23 17:11",Vehicle,2,2,"2024-09-23 17:21:28",0,2
001000007462318513020240923164237000,3-309,0000074623185130,"2024-09-23 16:21","2024-09-23 16:21",Vehicle,27,27,"2024-09-23 17:05:58",0,27
001000007462310507420240923144406000,3-170,0000074623105074,"2024-09-23 14:16","2024-09-23 14:16",Vehicle,24,24,"2024-09-23 15:24:48",0,24
001000007462305104220240919071555000,3-309,0000074623051042,"2024-09-19 06:54","2024-09-19 06:54",Vehicle,2843,25,"2024-09-23 13:31:17",0,2843
001000007462319105720240923125008000,3-309,0000074623191057,"2024-09-23 12:32","2024-09-23 12:32",Vehicle,25,25,"2024-09-23 13:16:24",0,25
001000007462319106520240923111646000,3-309,0000074623191065,"2024-09-23 10:59","2024-09-23 10:59",Vehicle,22,22,"2024-09-23 11:35:17",0,22
001000007462323203720240923113101000,3-170,0000074623232037,"2024-09-23 11:30","2024-09-23 11:30",Vehicle,3,3,"2024-09-23 11:32:56",0,3
001000007462319105720240923090101000,3-309,0000074623191057,"2024-09-21 15:04","2024-09-21 15:04",Vehicle,25,24,"2024-09-23 09:06:18",0,25
001000007462319104420240923022334000,3-250,0000074623191044,"2024-09-23 02:04","2024-09-23 02:04",Vehicle,26,26,"2024-09-23 02:30:03",0,26
001000007462323304720240923021225000,3-170,0000074623233047,"2024-09-23 02:10","2024-09-23 02:10",Vehicle,3,3,"2024-09-23 02:15:07",0,3
001000007462323304720240922171646000,3-170,0000074623233047,"2024-09-22 17:14","2024-09-22 17:14",Vehicle,2,2,"2024-09-22 17:20:00",0,2
001000007462318300320240922104211000,3-250,0000074623183003,"2024-09-22 10:40","2024-09-22 10:40",Vehicle,3,3,"2024-09-22 10:45:24",0,3
001000007462318513020240922102326000,3-309,0000074623185130,"2024-09-21 23:19","2024-09-21 23:19",Vehicle,27,27,"2024-09-22 10:30:30",0,27
001000007462305516820240922074623000,3-242,0000074623055168,"2024-09-22 07:44","2024-09-22 07:44",Vehicle,2,2,"2024-09-22 07:47:32",0,2
001000007462305516820240922074519000,3-242,0000074623055168,"2024-09-22 07:43","2024-09-22 07:43",Vehicle,2,2,"2024-09-22 07:47:14",0,2
001000007462305516820240922074100000,3-242,0000074623055168,"2024-09-22 07:39","2024-09-22 07:39",Vehicle,2,2,"2024-09-22 07:46:09",0,2
001000007461340487920240921235557000,3-170,0000074613404879,"2024-09-21 19:57","2024-09-21 19:57",Vehicle,2,2,"2024-09-21 23:57:08",0,2
001000007462317223020240921220137000,3-250,0000074623172230,"2024-09-21 22:00","2024-09-21 22:00",Vehicle,2,2,"2024-09-21 22:04:56",0,2
001000007462316227820240921180459000,3-309,0000074623162278,"2024-09-21 17:45","2024-09-21 17:45",Vehicle,27,27,"2024-09-21 19:56:51",0,27
001000007462323203720240921185953000,3-170,0000074623232037,"2024-09-21 18:59","2024-09-21 18:59",Vehicle,2,2,"2024-09-21 19:02:06",0,2
001000007462319106420240921184237000,3-309,0000074623191064,"2024-09-21 18:22","2024-09-21 18:22",Vehicle,25,25,"2024-09-21 18:54:23",0,25
001000007462318513020240921160637000,3-309,0000074623185130,"2024-09-21 15:46","2024-09-21 15:46",Vehicle,25,25,"2024-09-21 17:12:46",0,25
001000007462316227820240921105435000,3-309,0000074623162278,"2024-09-21 10:38","2024-09-21 10:38",Vehicle,19,18,"2024-09-21 17:06:38",0,19
001000007462319106420240921104552000,3-309,0000074623191064,"2024-09-21 10:28","2024-09-21 10:28",Vehicle,30,29,"2024-09-21 11:20:38",0,30
001000007462318303020240921102246000,3-309,0000074623183030,"2024-09-21 10:04","2024-09-21 10:04",Vehicle,26,26,"2024-09-21 10:34:27",0,26
001000007462307202220240920230924000,3-242,0000074623072022,"2024-09-20 23:07","2024-09-20 23:07",Vehicle,2,2,"2024-09-20 23:13:38",0,2
001000007462323203720240920215745000,3-170,0000074623232037,"2024-09-20 21:57","2024-09-20 21:57",Vehicle,2,2,"2024-09-20 22:03:01",0,2
